,AOR,LB,UB
C(fullvaxmonth)[T.8],0.92,0.09,0.07
C(fullvaxmonth)[T.9],0.89,0.12,0.1
diabetes[T.1.0],1.02,0.0,-0.04
hypertension[T.1.0],1.12,-0.1,-0.14
heart[T.1.0],0.91,0.12,0.06
asthma[T.1.0],0.99,0.03,-0.02
cancer[T.1.0],0.65,0.39,0.31
lung[T.1.0],0.75,0.32,0.17
kidney[T.1.0],0.83,0.21,0.12
liver[T.1.0],0.92,0.15,0.01
stroke[T.1.0],0.85,0.2,0.09
immunocompromised[T.1.0],0.92,0.13,0.02
obese[T.1.0],1.1,-0.06,-0.14
others[T.1.0],0.97,0.05,0.02
age,1.0,-0.0,-0.0
male,0.87,0.14,0.12
trace_count,1.06,-0.06,-0.07
test_count,0.87,0.14,0.13
